topic,file,line_start,line_end,code_context_excerpt
COMMAND_INJECTION_EXEC,main.go,68,69,"cmd := exec.Command(""/bin/sh"", ""-c"", filepath.Join(clusterRootPath, ""/opt/kubeadm/scripts"", ""kube-reset.sh""))"
COMMAND_INJECTION_EXEC,utils/misc.go,43,44,"cmd := exec.Command(kubeadmPath, ""version"", ""-o"", ""short"")"
SHELL_INJECTION_BASH,stages/init.go,93,94,"fmt.Sprintf(""bash %s %s %t %s %s %s"", filepath.Join(clusterRootPath, helperScriptPath, ""kube-init.sh""), clusterRootPath, true, proxy[""HTTP_PROXY""], proxy[""HTTPS_PROXY""], utils.GetNoProxyConfig(clusterCtx))"
SHELL_INJECTION_BASH,stages/init.go,124,125,"fmt.Sprintf(""bash %s %s %s %t %s %s %s"", filepath.Join(clusterRootPath, helperScriptPath, ""kube-upgrade.sh""), clusterCtx.NodeRole, clusterRootPath, true, clusterCtx.EnvConfig[""HTTP_PROXY""], clusterCtx.EnvConfig[""HTTPS_PROXY""], utils.GetNoProxyConfig(clusterCtx))"
SHELL_INJECTION_BASH,stages/pre.go,43,43,"fmt.Sprintf(""/bin/sh %s %s > /var/log/import.log"", filepath.Join(clusterRootPath, helperScriptPath, ""import.sh""), localImagesPath)"
SHELL_INJECTION_BASH,stages/pre.go,54,54,"fmt.Sprintf(""/bin/sh %s %s > /var/log/import-kube-images.log"", filepath.Join(rootPath, helperScriptPath, ""import.sh""), filepath.Join(rootPath, ""opt/kube-images""))"
SHELL_INJECTION_SUDO,scripts/kube-upgrade.sh,148,148,"if sudo -E bash -c ""$upgrade_command"""
SHELL_INJECTION_SUDO,scripts/kube-reconfigure.sh,45,47,"sudo -E bash -c ""kubeadm init phase control-plane apiserver --config $root_path/opt/kubeadm/cluster-config.yaml""
sudo -E bash -c ""kubeadm init phase control-plane controller-manager --config $root_path/opt/kubeadm/cluster-config.yaml""
sudo -E bash -c ""kubeadm init phase control-plane scheduler --config $root_path/opt/kubeadm/cluster-config.yaml"""
FILE_PERMISSIONS_CHMOD,stages/pre.go,42,42,"fmt.Sprintf(""chmod +x %s"", filepath.Join(clusterRootPath, helperScriptPath, ""import.sh""))"
FILE_PERMISSIONS_CHMOD,stages/pre.go,53,53,"fmt.Sprintf(""chmod +x %s"", filepath.Join(rootPath, helperScriptPath, ""import.sh""))"
FILE_PERMISSIONS_CHMOD,scripts/kube-reconfigure.sh,127,128,"chmod 600 /var/lib/kubelet/config.yaml
chmod 600 /etc/systemd/system/kubelet.service"
FILE_PERMISSIONS_CHOWN,scripts/kube-reconfigure.sh,135,136,"chown root:root /etc/kubernetes/proxy.conf
chmod 600 /etc/kubernetes/proxy.conf"
DESTRUCTIVE_FILE_OPS,scripts/kube-reset.sh,20,23,"rm -rf /etc/kubernetes/etcd
rm -rf /etc/kubernetes/manifests
rm -rf /etc/kubernetes/pki
rm -rf /etc/containerd/config.toml"
DESTRUCTIVE_FILE_OPS,scripts/kube-reset.sh,34,56,"rm -rf /var/lib/kubelet && rm -rf ${STYLUS_ROOT}/var/lib/kubelet
rm -f $STYLUS_ROOT/usr/local/bin/kubelet
umount -l /var/lib/spectro/containerd
rm -rf /var/lib/spectro/containerd && rm -rf ${STYLUS_ROOT}/var/lib/spectro/containerd
umount -l /opt/bin
rm -rf /opt/bin && rm -rf ${STYLUS_ROOT}/opt/bin
umount -l /opt/cni/bin
rm -rf /opt/cni && rm -rf ${STYLUS_ROOT}/opt/cni
umount -l /etc/kubernetes
rm -rf /etc/kubernetes && rm -rf ${STYLUS_ROOT}/etc/kubernetes
rm -rf ${STYLUS_ROOT}/opt/kubeadm
rm -rf ${STYLUS_ROOT}/opt/containerd
rm -rf ${STYLUS_ROOT}/opt/*init
rm -rf ${STYLUS_ROOT}/opt/*join
rm -rf ${STYLUS_ROOT}/opt/kube-images
rm -rf ${STYLUS_ROOT}/opt/sentinel_kubeadmversion
rm -rf ${STYLUS_ROOT}/etc/systemd/system/spectro-kubelet.slice
rm -rf ${STYLUS_ROOT}/etc/systemd/system/spectro-containerd.slice
rm -rf ${STYLUS_ROOT}/etc/systemd/system/kubelet.service
rm -rf ${STYLUS_ROOT}/etc/systemd/system/containerd.service 2> /dev/null
rm -rf ${STYLUS_ROOT}/etc/systemd/system/spectro-containerd.service 2> /dev/null"
DESTRUCTIVE_FILE_OPS,scripts/kube-join.sh,39,40,"iptables -F && iptables -t nat -F && iptables -t mangle -F && iptables -X && rm -rf /etc/kubernetes/etcd /etc/kubernetes/manifests /etc/kubernetes/pki
rm -rf ""$root_path""/etc/cni/net.d"
DESTRUCTIVE_FILE_OPS,scripts/kube-init.sh,37,38,"iptables -F && iptables -t nat -F && iptables -t mangle -F && iptables -X && rm -rf /etc/kubernetes/etcd /etc/kubernetes/manifests /etc/kubernetes/pki
rm -rf ""$root_path""/etc/cni/net.d"
PANIC_ON_ERROR,log/log.go,14,14,"panic(err)"
FATAL_ON_ERROR,main.go,37,37,"logrus.Fatal(err)"
FATAL_ON_ERROR,main.go,85,85,"logrus.Fatalf(""failed to check if kubeadm version is greater than 131: %v"", err)"
ERROR_HANDLING_MAIN,main.go,50,53,"if err := json.Unmarshal([]byte(event.Data), &payload); err != nil {
logrus.Error(fmt.Sprintf(""failed to parse boot event: %s"", err.Error()))
response.Error = fmt.Sprintf(""failed to parse boot event: %s"", err.Error())
return response"
ERROR_HANDLING_MAIN,main.go,57,60,"if err := yaml.Unmarshal([]byte(payload.Config), &config); err != nil {
logrus.Error(fmt.Sprintf(""failed to parse config from boot event: %s"", err.Error()))
response.Error = fmt.Sprintf(""failed to parse config from boot event: %s"", err.Error())
return response"
ERROR_HANDLING_VERSION,utils/misc.go,22,26,"currentVersion, err := getCurrentKubeadmVersion(rootPath)
if err != nil {
return 0, err
}"
ERROR_HANDLING_VERSION,utils/misc.go,45,46,"if err != nil {
return """", fmt.Errorf(""error getting current kubeadm version: %v"", err)"
JSON_YAML_UNMARSHALING,main.go,50,50,"if err := json.Unmarshal([]byte(event.Data), &payload); err != nil {"
